exchange,account,symbol
Binance,BinanceK,1INCH
Binance,BinanceA,AAVE
Binance,BinanceA,BAND
Okx,Okx,BAND
Binance,BinanceK,BCH
Binance,BinanceA,BNB
Binance,BinanceA,BNB
Binance,BinanceK,BNB
Binance,BinanceA,BTC
Binance,BinanceA,BTC
Binance,BinanceK,BTC
Binance,BinanceK,BTC
Okx,Okx,BTC
Bitget,Bitget,BTC
Gate,Gate,BTC
Binance,BinanceA,BTCDOM
Binance,BinanceK,BTCDOM
Binance,BinanceA,BTC_221230
Binance,BinanceK,BTC_221230
Coinex,Coinex,CHZ
Binance,BinanceA,COMP
Binance,BinanceK,COTI
Binance,BinanceK,DOT
Okx,Okx,DOT
Okx,Okx,DYDX
Binance,BinanceA,EOS
Binance,BinanceK,EOS
Binance,BinanceA,ETH
Binance,BinanceA,ETH
Binance,BinanceK,ETH
Binance,BinanceK,ETH
Binance,BinanceK,ETH_221230
Binance,BinanceK,FIL
Gate,Gate,FTT
Gate,Gate,GT
Binance,BinanceK,KNC
Binance,BinanceA,LINK
Coinex,Coinex,LTC
Binance,BinanceK,LTC
Kucoin,Kucoin,LUNA
Binance,BinanceA,ONT
Binance,BinanceA,SOL
Binance,BinanceK,SOL
Coinex,Coinex,THETA
Okx,Okx,UNI
Binance,BinanceA,WAVES
Gate,Gate,XMR
Binance,BinanceA,XRP
Binance,BinanceA,XTZ
Okx,Okx,YFI
Okx,Okx,YFII